TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
dej si cecko na imunitu,KokyTheGod,71,25,69,42,207,0.5821875
xD,Vrzman,77,35,15,51,178,0.500625
The Chosen Ones,RippSir,69,25,31,51,176,0.49500000000000005
podle citu xD,impvlse,77,20,15,51,163,0.45843750000000005
xD xD,Tademon,65,10,-17,42,100,0.28125
