TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
IhateBardolphmorethanmyself,Tademon,67,20,153,60,300,0.6164383561643836
The Chosen Ones,RippSir,69,30,129,69,297,0.6102739726027397
Top Fan,Vrzman,65,35,122,69,291,0.5979452054794521
pizzu?,KokyTheGod,57,5,95,78,235,0.4828767123287671
Semmler's GODSENT,impvlse,63,30,41,51,185,0.3801369863013699
