TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
Nenivsechno zlato co se trpyti,Vrzman,127,20,277,114,538,0.9781818181818183
wellbalanced,impvlse,122,40,108,-3,267,0.48545454545454547
Vychodnari,RippSir,94,30,43,33,200,0.3636363636363637
Yolo,Tademon,77,35,19,-39,92,0.16727272727272727
Bongistaan,KokyTheGod,49,15,-28,15,51,0.09272727272727273
