TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
#5cursedbois,Vrzman,103,30,516,649,0.605410447761194
The Chosen Ones,RippSir,182,70,356,608,0.5671641791044776
Strong finish,Tademon,138,30,373,541,0.5046641791044776
"moc moznosti, takze podle citu",impvlse,106,30,242,378,0.35261194029850745
Koky da numba van,KokyTheGod,82,40,217,339,0.3162313432835821
Neřeknu,rahic,88,10,178,276,0.2574626865671642
