TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
The Chosen Ones,RippSir,66,40,76,21,203,0.3960975609756098
Škoda že nejde 5 complexity,Tademon,88,40,52,12,192,0.37463414634146347
podle citu 2020,impvlse,51,50,63,3,167,0.3258536585365854
Rip ja,Vrzman,62,20,62,3,147,0.2868292682926829
Blast je blast,KokyTheGod,28,60,-5,-15,68,0.1326829268292683
Kgb,Polysmen,3,30,-8,3,28,0.05463414634146342
Hdbdbd,Rakvis,13,0,7,-15,5,0.009756097560975611
