TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
The Chosen Ones,RippSir,113,35,279,126,553,0.9634146341463414
FunPlusPhoenix da best team,KokyTheGod,102,10,214,81,407,0.7090592334494773
Nejhorsi tym,Vrzman,65,25,211,81,382,0.6655052264808362
Sileni Lvi,Tademon,96,10,132,99,337,0.5871080139372822
nezajem,impvlse,37,20,205,63,325,0.5662020905923345
