TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
Karambit Doppler StatTrak,KokyTheGod,82,50,123,6,261,0.435
Kes,Vrzman,96,40,113,6,255,0.425
The Chosen Ones,RippSir,92,20,117,15,244,0.4066666666666667
new year new me,impvlse,101,20,33,42,196,0.32666666666666666
Kniff je muj,Tademon,39,10,-11,-39,-1,-0.0016666666666666668
Ou se babiiiiii,Rakvis,20,0,-26,-30,-36,-0.06
Najf,Polysmen,21,20,-46,-39,-44,-0.07333333333333333
