TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID

The Chosen Ones,RippSir,85,0,161,57,303,0.6424028268551237

Polski kurw,Tademon,97,25,109,57,288,0.6106007067137809

I gotta feeling,KokyTheGod,63,30,172,21,286,0.6063604240282686

fnatic doted vubec nehrali,impvlse,70,30,134,21,255,0.5406360424028268

Mysi Spekulant,Vrzman,52,35,144,3,234,0.496113074204947
