TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
no xseveN no point,impvlse,86,25,81,51,243,0.48697394789579157
Tym tvoji mamy,Tademon,47,10,93,33,183,0.3667334669338677
Alluminati,Vrzman,33,20,42,-21,74,0.14829659318637275
The Chosen Ones,RippSir,36,15,-21,15,45,0.09018036072144289
Bongistaan,KokyTheGod,26,10,-120,-48,-132,-0.26452905811623245
