TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
na cs omglul,impvlse,104,35,188,78,405,0.7484599589322382
The Chosen Ones,RippSir,113,30,125,78,346,0.6394250513347023
EU>NA,Vrzman,89,20,169,60,338,0.6246406570841889
Amerish bojs,Tademon,102,30,82,60,274,0.5063655030800822
NA online random shit,KokyTheGod,81,30,62,60,233,0.4305954825462012
