TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
The Chosen Ones,RippSir,115,40,98,48,301,0.5858880778588808
Ohon na ruční pohon,impvlse,95,30,106,39,270,0.5255474452554745
Nejlepší turnaj sezony,Tademon,79,30,96,48,253,0.49245742092457423
fire in the a-hole,Rakvis,62,20,96,48,226,0.4399026763990268
#fazeup,KokyTheGod,89,50,61,21,221,0.4301703163017032
Teknopatia,Polysmen,29,20,76,48,173,0.3367396593673966
Nejdulezitejsi tipovacka,Vrzman,36,30,8,12,86,0.16739659367396595
