TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
ucesana prdel,impvlse,91,35,123,60,309,0.8301492537313433
The Chosen Ones,RippSir,67,25,133,69,294,0.7898507462686567
online sux,KokyTheGod,69,35,100,78,282,0.7576119402985075
Karrantena,Vrzman,69,25,76,69,239,0.642089552238806
"Co je moc, to je prilis",Tademon,47,15,23,69,154,0.4137313432835821
