TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
Pyramidove schema,Vrzman,123,45,185,129,482,1.0612844036697249
Bongistaan,KokyTheGod,106,30,77,66,279,0.6143119266055045
Anti ty vis kdo,Tademon,95,20,55,102,272,0.5988990825688073
The Chosen One,RippSir,51,30,5,102,188,0.4139449541284404
The Chosen Ones,impvlse,46,40,-45,75,116,0.25541284403669723
