TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
The Chosen Ones,RippSir,55,20,186,57,318,0.7361111111111112
Last minute borci,Tademon,68,20,167,30,285,0.6597222222222222
Cuh,Vrzman,55,25,138,48,266,0.6157407407407407
en ten týky dva spalíky,KokyTheGod,44,20,150,30,244,0.5648148148148148
covid 1 : 0 sasova lyzovacka,impvlse,57,25,89,57,228,0.5277777777777778
