TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
Flespojnt,Tademon,111,25,317,114,567,1.015798045602606
Sonix C,Vrzman,76,25,141,6,248,0.44429967426710104
The Chosen Ones,RippSir,78,30,104,15,227,0.40667752442996746
87-0,KokyTheGod,71,15,51,15,152,0.2723127035830619
podle citu :(,impvlse,58,15,46,-12,107,0.19169381107491856
