TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
Rouska a respirator,KokyTheGod,91,40,129,21,281,0.6123486682808716
Jakej dement mi bere jmeno?,RippSir,68,35,104,21,228,0.49685230024213073
Nemam,Tademon,68,35,103,21,227,0.4946731234866828
The Chosen Ones,impvlse,84,25,77,30,216,0.4707021791767555
Predposledni,Vrzman,58,35,12,-15,90,0.19612590799031476
