TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
Podvody nevedem,Tademon,115,50,135,48,348,0.6790243902439025
The Chosen Ones,RippSir,84,70,44,30,228,0.44487804878048787
Bongistaan,KokyTheGod,79,50,74,12,215,0.41951219512195126
Olala,Rakvis,78,20,77,21,196,0.3824390243902439
Tym Sasa,Vrzman,75,20,70,12,177,0.3453658536585366
alfa samci,impvlse,45,60,44,3,152,0.2965853658536585
