TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
The Chosen Ones,RippSir,127,80,139,51,397,0.8004032258064516
1337,Polysmen,114,60,102,60,336,0.6774193548387096
Dlaňovku za stovku,impvlse,116,40,94,33,283,0.5705645161290323
I win kniffs all day long,Tademon,104,30,72,60,266,0.5362903225806451
I'm in love with the coco,KokyTheGod,95,20,94,42,251,0.5060483870967742
Tududutudududu,Rakvis,82,30,80,33,225,0.4536290322580645
Tududu dudududu,Vrzman,95,80,-16,24,183,0.3689516129032258
