TEAM,USER,ROLE,BOOST,POINTS,TEAMPOINTS,TOTAL,WAID
Konec šaškáren,impvlse,61,5,238,87,391,0.6593591905564924
Aleksib FTW,KokyTheGod,50,15,261,60,386,0.6509274873524452
1st place attack,Tademon,62,15,249,42,368,0.6205733558178752
The Chosen Ones,RippSir,56,20,101,33,210,0.35413153456998314
AntiENCE Strats,Vrzman,54,15,32,51,152,0.2563237774030354
