TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
3/5 antiSasa,Vrzman,117,80,408,605,0.6544471153846154
To nejlepší nakonec,Tademon,110,70,208,388,0.41971153846153847
______pod carou jsou lamy_____,impvlse,126,80,167,373,0.40348557692307696
Boys don't cry,Polysmen,87,60,57,204,0.22067307692307692
The Chosen Ones,RippSir,108,40,39,187,0.20228365384615385
2020 je moje kundy,KokyTheGod,98,30,45,173,0.18713942307692308
Neřeknu,rahic,21,30,-37,14,0.01514423076923077
