TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
Tu zkoušku musím zvládnout sám,Tademon,155,40,411,606,0.6183673469387755
Dev1ce,rahic,99,50,372,521,0.5316326530612245
Ash Ketchum,KokyTheGod,118,50,289,457,0.4663265306122449
bez citu,impvlse,100,20,306,426,0.4346938775510204
#54 Psyduck,Vrzman,138,40,236,414,0.42244897959183675
Smrdíš,Rakvis,47,10,281,338,0.3448979591836735
*,Polysmen,106,30,196,332,0.33877551020408164
The Chosen Ones,RippSir,117,40,101,258,0.26326530612244897
