TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
Stejný hráči jako ostatní,Tademon,91,30,185,306,0.6442105263157895
Schweinehund,Polysmen,70,50,185,305,0.6421052631578948
Cáky cák je tu Blast,KokyTheGod,72,30,144,246,0.5178947368421053
The Chosen Ones,RippSir,101,40,104,245,0.5157894736842106
Kdy bude poker?,Vrzman,94,40,23,157,0.3305263157894737
prvni nebo posledni,impvlse,27,30,22,79,0.16631578947368422
Neřeknu,rahic,27,30,-52,5,0.010526315789473684
