TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
Veselá chasa,Vrzman,187,70,540,797,0.46069364161849713
The Chosen Ones,RippSir,174,30,533,737,0.4260115606936416
Kapička flíčku,KokyTheGod,178,20,477,675,0.3901734104046243
ez4ence,impvlse,140,20,494,654,0.37803468208092483
Konečně pořádný hráči,Tademon,128,30,467,625,0.36127167630057805
7,Polysmen,62,30,379,471,0.2722543352601156
