TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
The Chosen Ones,RippSir,147,70,503,720,0.6545454545454545
Bongistaan,KokyTheGod,102,30,586,718,0.6527272727272727
awřečz,Rakvis,117,80,354,551,0.5009090909090909
boys boys boys,impvlse,127,60,354,541,0.4918181818181818
1,Polysmen,102,70,306,478,0.43454545454545457
Neco mezi srackou a zacpou,Vrzman,127,80,210,417,0.3790909090909091
Dota je lepší než CSGO,Tademon,131,60,131,322,0.2927272727272727
