TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
4 hráči a coldzera,Tademon,77,40,620,737,0.5009345794392523
Já na to mám,KokyTheGod,100,40,519,659,0.44791843670348347
The Chosen Ones,RippSir,74,30,492,596,0.4050977060322855
At je tahle krysa zlata,Vrzman,110,20,414,544,0.3697536108751062
im a BELIEBER,Rakvis,58,10,397,465,0.31605777400169927
sexy bum bum NiP,impvlse,75,30,348,453,0.3079014443500425
5,Polysmen,46,20,-51,15,0.010195412064570943
