TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
The Chosen Ones,RippSir,86,10,89,185,0.19397116644823068
No zews no party,Tademon,74,20,77,171,0.17929226736566187
:'((((((((,Vrzman,137,30,-40,127,0.13315858453473134
Bongistaan,KokyTheGod,97,20,-226,-109,-0.11428571428571428
3,Polysmen,48,20,-186,-118,-0.12372214941022282
podle citu,impvlse,38,10,-398,-350,-0.3669724770642202
