TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
"Když se chce, tak to jde",Tademon,107,80,525,712,0.6675000000000001
čšžšáíéýz,Rakvis,98,60,523,681,0.6384375
The Chosen Ones,RippSir,74,40,307,421,0.3946875
podle citu,impvlse,126,30,194,350,0.328125
"Nádech, výdech, nádech, výdech",KokyTheGod,78,40,32,150,0.140625
Vyrobky mlecne to je marne,Vrzman,56,10,-18,48,0.045000000000000005
5,Polysmen,29,60,-153,-64,-0.06
