TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
Všichni 1 >>> Matěj 0,KokyTheGod,51,40,109,200,0.34951456310679613
"Poslední, ale kvůli smůle",Vrzman,34,50,112,196,0.34252427184466017
The Chosen Ones,RippSir,78,40,73,191,0.33378640776699026
8,Polysmen,55,30,12,97,0.16951456310679613
"Vojta, ji daprdele!",impvlse,26,40,-75,-9,-0.015728155339805826
Pacholci,Tademon,43,30,-91,-18,-0.03145631067961165
lol to tak,Rakvis,29,20,-150,-101,-0.17650485436893204
