TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
4,Polysmen,121,10,393,524,0.5019157088122606
Zeme Vzdalena,Vrzman,158,60,289,507,0.48563218390804597
The Chosen Ones,RippSir,176,30,227,433,0.41475095785440613
Bongistaan,KokyTheGod,163,20,241,424,0.4061302681992337
anti-team,impvlse,139,50,127,316,0.30268199233716475
řýěšýášíé,Rakvis,94,40,147,281,0.26915708812260536
"Tentokrát zkusím ""cit""",Tademon,83,20,52,155,0.14846743295019157
