TEAM,USER,ROLE,BOOST,POINTS,TOTAL,WAID
Rozum,Vrzman,114,60,282,456,0.5142857142857142
Podle rozumu,Tademon,102,60,234,396,0.44661654135338347
Keeping the lead,RippSir,97,60,184,341,0.38458646616541353
Bongistaan,KokyTheGod,104,70,165,339,0.3823308270676692
spis cit asi,impvlse,58,30,167,255,0.287593984962406
